movie_id,image_url,movie_title,year_released
42,sm/upload/5y/3p/zn/ra/imha8jHAqMfEGUDoe1JrYwBeW0l-0-230-0-345-crop,,
42nd-street,film-poster/4/9/9/0/9/49909-42nd-street-0-230-0-345-crop,,
45-years,film-poster/2/3/8/2/6/4/238264-45-years-0-230-0-345-crop,,
47-meters-down,sm/upload/64/k9/qb/9o/54OHR2rRj4ZYAbeygmylDnYEpii-0-230-0-345-crop,,
47-meters-down-uncaged,film-poster/4/1/1/0/5/8/411058-47-meters-down-uncaged-0-230-0-345-crop,,
47-ronin-2013,sm/upload/7q/cu/fc/rt/4D5LM8BRdWuBQXSjLh1iAddchdM-0-230-0-345-crop,,
48-hrs,sm/upload/bz/yc/c6/wz/fGp7fsyVxujRy9e0RAyZFvq9aZi-0-230-0-345-crop,,
49th-parallel,sm/upload/k4/be/0l/e6/49th-parallel-0-230-0-345-crop,,
5-centimeters-per-second,film-poster/2/6/4/0/0/26400-5-centimeters-per-second-0-230-0-345-crop,,
50-50,film-poster/2/4/1/7/7/24177-50-50-0-230-0-345-crop,,
50-first-dates,film-poster/5/0/7/7/3/50773-50-first-dates-0-230-0-345-crop,,
500-days-of-summer,film-poster/3/9/3/5/0/39350--500-days-of-summer-0-230-0-345-crop,,
52-pick-up,film-poster/4/0/2/3/5/40235-52-pick-up-0-230-0-345-crop,,
54,film-poster/4/9/6/2/3/49623-54-0-230-0-345-crop,,
6-underground,film-poster/4/3/9/7/1/7/439717-6-underground-0-230-0-345-crop,,
6-years,film-poster/2/5/0/7/8/6/250786-6-years-0-230-0-345-crop,,
65,film-poster/6/2/4/0/7/0/624070-65-0-230-0-345-crop,,
7-days-in-hell,film-poster/2/1/2/9/5/2/212952-7-days-in-hell-0-230-0-345-crop,,
71,sm/upload/wa/ky/eh/v1/b8dmfG84peFdouN2N8wOsiI9WHt-0-230-0-345-crop,,
7500,film-poster/4/3/9/3/6/9/439369-7500-0-230-0-345-crop,,
78-52,film-poster/2/9/1/4/3/2/291432-78-52-0-230-0-345-crop,,
7th-heaven,film-poster/6/8/9/0/2/68902-7th-heaven-0-230-0-345-crop,,
8-bit-christmas,film-poster/7/1/9/7/2/2/719722-8-bit-christmas-0-230-0-345-crop,,
8-half,sm/upload/qt/2y/ms/4w/5pQlc8dp5dXzWg1yM70DZrsDpOl-0-230-0-345-crop,,
8-mile,sm/upload/sx/ew/do/rx/dXzTrKwpbLpCqn8O70FUUhNbYQT-0-230-0-345-crop,,
8-women,film-poster/5/0/6/5/0/50650-8-women-0-230-0-345-crop,,
80-for-brady,film-poster/8/4/7/6/2/2/847622-80-for-brady-0-230-0-345-crop,,
825-forest-road,film-poster/1/1/6/6/8/6/7/1166867-825-forest-road-0-230-0-345-crop,,
8mm,film-poster/4/7/8/4/3/47843-8mm-0-230-0-345-crop,,
9,film-poster/4/4/6/6/7/44667-9-0-230-0-345-crop,,
9-weeks,film-poster/4/6/5/7/8/46578-nine-1-2-weeks-0-230-0-345-crop,,
964-pinocchio,film-poster/1/5/4/8/5/15485-964-pinocchio-0-230-0-345-crop,,
976-evil,film-poster/3/7/0/7/3/37073-976-evil-0-230-0-345-crop,,
99-homes,film-poster/2/0/8/5/3/5/208535-99-homes-0-230-0-345-crop,,
a-bad-moms-christmas,film-poster/3/6/4/6/8/2/364682-a-bad-moms-christmas-0-230-0-345-crop,,
a-bay-of-blood,film-poster/4/8/8/3/3/48833-a-bay-of-blood-0-230-0-345-crop,,
a-beautiful-day-in-the-neighborhood,film-poster/4/3/1/8/7/7/431877-a-beautiful-day-in-the-neighborhood-0-230-0-345-crop,,
a-beautiful-mind,film-poster/5/1/6/4/8/51648-a-beautiful-mind-0-230-0-345-crop,,
a-better-tomorrow,film-poster/4/5/2/7/2/45272-a-better-tomorrow-0-230-0-345-crop,,
a-better-tomorrow-ii,film-poster/4/0/4/3/6/40436-a-better-tomorrow-ii-0-230-0-345-crop,,
a-bigger-splash-2015,sm/upload/2l/py/pm/ea/uMJhOiPpSuDFbJc5z6c8hD9h8CQ-0-230-0-345-crop,,
a-bittersweet-life,sm/upload/m3/ho/e6/pk/a-bittersweet-life-0-230-0-345-crop,,
a-boy-called-christmas,film-poster/5/4/2/4/6/6/542466-a-boy-called-christmas-0-230-0-345-crop,,
a-brighter-summer-day,film-poster/4/2/0/8/9/42089-a-brighter-summer-day-0-230-0-345-crop,,
a-bronx-tale,film-poster/5/0/9/3/2/50932-a-bronx-tale-0-230-0-345-crop,,
a-bucket-of-blood,film-poster/3/7/7/6/9/37769-a-bucket-of-blood-0-230-0-345-crop,,
a-bugs-life,film-poster/4/7/1/1/1/47111-a-bug-s-life-0-230-0-345-crop,,
a-canterbury-tale,film-poster/4/2/1/7/4/42174-a-canterbury-tale-0-230-0-345-crop,,
